GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
queensfarming-domain,de.dhbw.ase.entities,Spielfeld,91,0,8,0,16,0,10,0,6,0
queensfarming-domain,de.dhbw.ase.entities,Kachelstapel,176,0,10,0,23,0,11,0,6,0
queensfarming-domain,de.dhbw.ase.entities,Spieler,55,0,0,0,22,0,11,0,11,0
queensfarming-domain,de.dhbw.ase.entities,Markt,125,0,0,0,19,0,8,0,8,0
queensfarming-domain,de.dhbw.ase.entities,ProduktMenge,77,0,10,0,16,0,13,0,8,0
queensfarming-domain,de.dhbw.ase.entities,Spiel,29,0,0,0,12,0,6,0,6,0
queensfarming-domain,de.dhbw.ase.entities,Fabrik,91,0,0,0,26,0,12,0,12,0
queensfarming-domain,de.dhbw.ase.entities.Gemuese,Gemuese,4,9,0,0,2,4,1,2,1,2
queensfarming-domain,de.dhbw.ase.entities.Gemuese,GemueseTyp,42,21,4,0,14,8,9,3,7,3
queensfarming-domain,de.dhbw.ase.exceptions,BaseDomainException,4,0,0,0,2,0,1,0,1,0
queensfarming-domain,de.dhbw.ase.exceptions,MarktNotFoundException,4,0,0,0,2,0,1,0,1,0
queensfarming-domain,de.dhbw.ase.exceptions,GameNotFoundException,4,0,0,0,2,0,1,0,1,0
queensfarming-domain,de.dhbw.ase.entities.Kachel,Großesfeld,7,0,0,0,2,0,1,0,1,0
queensfarming-domain,de.dhbw.ase.entities.Kachel,Kachel,12,0,0,0,5,0,2,0,2,0
queensfarming-domain,de.dhbw.ase.entities.Kachel,Feld,7,0,0,0,2,0,1,0,1,0
queensfarming-domain,de.dhbw.ase.entities.Kachel,Garten,7,0,0,0,2,0,1,0,1,0
queensfarming-domain,de.dhbw.ase.entities.Kachel,Scheune,36,0,2,0,6,0,3,0,2,0
queensfarming-domain,de.dhbw.ase.entities.Kachel,Großerwald,7,0,0,0,2,0,1,0,1,0
queensfarming-domain,de.dhbw.ase.entities.Kachel,Wald,7,0,0,0,2,0,1,0,1,0
queensfarming-domain,de.dhbw.ase.entities.Kachel,BebaubareKachel,122,0,12,0,34,0,19,0,13,0
queensfarming-domain,de.dhbw.ase.valueobjects,ErntePreis,11,72,4,10,1,15,5,8,1,5
queensfarming-domain,de.dhbw.ase.valueobjects,Produkt,4,107,6,14,0,21,6,11,0,7
queensfarming-domain,de.dhbw.ase.valueobjects,KaufErgebnis,11,72,4,10,1,15,5,8,1,5
queensfarming-domain,de.dhbw.ase.valueobjects,KachelPreis,83,0,14,0,16,0,13,0,6,0
